"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"09/05/2023","Sell","AGNC","TDA TRAN - Sold 0.942 (AGNC) @9.8400","0.942","$9.84","","$9.27"
"09/05/2023","Buy","NEM","TDA TRAN - Bought 40 (NEM) @38.8700","40","$38.87","","-$1554.80"
"09/05/2023","Buy","NEM","TDA TRAN - Bought 25 (NEM) @38.8599","25","$38.8599","","-$971.50"
"09/05/2023","Sell","SJT","TDA TRAN - Sold 300 (SJT) @6.6602","300","$6.6602","$0.06","$1998.00"
"09/05/2023","Sell","AGNC","TDA TRAN - Sold 61 (AGNC) @9.8401","61","$9.8401","$0.01","$600.24"
"08/31/2023","Journaled Shares","MMDA1","TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA1)","0.01","","",""
"08/29/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$4.98"
"08/25/2023","Buy","SJT","TDA TRAN - Bought 15 (SJT) @6.8800","15","$6.88","","-$103.20"
"08/25/2023","Sell","CLVT","TDA TRAN - Sold 15 (CLVT) @7.2118","15","$7.2118","","$108.18"
"08/22/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$28.01"
"08/21/2023","Sell to Open","SJT 01/19/2024 10.00 C","TDA TRAN - Sold to Open 3 (SJT Jan 19 2024 10.0 Call) @0.1000","3","$0.10","$1.99","$28.01"
"08/14/2023","Reinvest Shares","SJT","TDA TRAN - Bought 1.24 (SJT) @7.4265","1.24","$7.4265","","-$9.21"
"08/14/2023","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (SJT)","","","","$9.21"
"08/11/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL","","","","-$26.01"
"08/09/2023","Reinvest Shares","AGNC","TDA TRAN - Bought 0.736 (AGNC) @9.9740","0.736","$9.974","","-$7.34"
"08/09/2023","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (AGNC)","","","","$7.34"
"08/09/2023","Buy","CLVT","TDA TRAN - Bought 15 (CLVT) @6.9400","15","$6.94","","-$104.10"
"08/09/2023","Sell","HGTXU","TDA TRAN - Sold 100 (HGTXU) @0.8505","100","$0.8505","$6.96","$78.09"
"07/31/2023","Journaled Shares","MMDA1","TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA1)","0.02","","",""
"07/24/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL","","","","-$21.32"
"07/24/2023","Journaled Shares","SJT 07/21/2023 10.00 C","TDA TRAN - REMOVAL OF OPTION DUE TO EXPIRATION (0SJT..GL30010000)","3","","",""
"07/21/2023","Buy to Close","SJT 10/20/2023 10.00 C","TDA TRAN - Bought to Close 2 (SJT Oct 20 2023 10.0 Call) @0.1000","2","$0.10","$1.32","-$21.32"
"07/18/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$0.46"
"07/17/2023","Reinvest Shares","SJT","TDA TRAN - Bought 2.152 (SJT) @7.1109","2.152","$7.1109","","-$15.30"
"07/17/2023","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (SJT)","","","","$15.30"
"07/17/2023","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (HGTXU)","","","","$0.46"
"07/12/2023","Reinvest Shares","AGNC","TDA TRAN - Bought 0.718 (AGNC) @10.1118","0.718","$10.1118","","-$7.26"
"07/12/2023","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (AGNC)","","","","$7.26"
"06/30/2023","Journaled Shares","MMDA1","TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA1)","0.01","","",""
"06/15/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$27.47"
"06/14/2023","Buy","SJT","TDA TRAN - Bought 1 (SJT) @8.2089","1","$8.2089","","-$8.21"
"06/14/2023","Reinvest Shares","SJT","TDA TRAN - Bought 5.705 (SJT) @8.2589","5.705","$8.2589","","-$47.12"
"06/14/2023","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (SJT)","","","","$47.12"
"06/14/2023","Sell to Open","SJT 10/20/2023 10.00 C","TDA TRAN - Sold to Open 2 (SJT Oct 20 2023 10.0 Call) @0.1500","2","$0.15","$1.32","$28.68"
"06/14/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$13.02"
"06/14/2023","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (HGTXU)","","","","$7.00"
"06/13/2023","Sell to Open","SJT 07/21/2023 10.00 C","TDA TRAN - Sold to Open 2 (SJT Jul 21 2023 10.0 Call) @0.0500","2","$0.05","$1.32","$8.68"
"06/13/2023","Sell to Open","SJT 07/21/2023 10.00 C","TDA TRAN - Sold to Open 1 (SJT Jul 21 2023 10.0 Call) @0.0500","1","$0.05","$0.66","$4.34"
"06/09/2023","Reinvest Shares","AGNC","TDA TRAN - Bought 0.735 (AGNC) @9.7508","0.735","$9.7508","","-$7.17"
"06/09/2023","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (AGNC)","","","","$7.17"
"06/01/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$0.02"
"05/31/2023","Bond Interest","","TDA TRAN - FREE BALANCE INTEREST ADJUSTMENT","","","","$0.02"
"05/31/2023","Journaled Shares","MMDA1","TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA1)","0.02","","",""
"05/15/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$3.71"
"05/12/2023","Reinvest Shares","SJT","TDA TRAN - Bought 8.71 (SJT) @8.1642","8.71","$8.1642","","-$71.11"
"05/12/2023","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (SJT)","","","","$71.11"
"05/12/2023","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (HGTXU)","","","","$3.71"
"05/11/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL","","","","-$155.32"
"05/10/2023","Buy to Close","SJT 06/16/2023 7.50 C","TDA TRAN - Bought to Close 1 (SJT Jun 16 2023 7.5 Call) @0.7400","1","$0.74","$0.66","-$74.66"
"05/10/2023","Buy to Close","SJT 06/16/2023 7.50 C","TDA TRAN - Bought to Close 1 (SJT Jun 16 2023 7.5 Call) @0.8000","1","$0.80","$0.66","-$80.66"
"05/09/2023","Reinvest Shares","AGNC","TDA TRAN - Bought 0.753 (AGNC) @9.4064","0.753","$9.4064","","-$7.08"
"05/09/2023","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (AGNC)","","","","$7.08"
"05/09/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$20.01"
"05/08/2023","Buy to Close","SJT 06/16/2023 7.50 C","TDA TRAN - Bought to Close 1 (SJT Jun 16 2023 7.5 Call) @0.6200","1","$0.62","$0.66","-$62.66"
"05/05/2023","Sell","QYLD","TDA TRAN - Sold 0.762 (QYLD) @17.3600","0.762","$17.36","","$13.23"
"05/05/2023","Sell","QYLD","TDA TRAN - Sold 4 (QYLD) @17.3601","4","$17.3601","","$69.44"
"05/03/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$58.01"
"05/02/2023","Reinvest Shares","QYLD","TDA TRAN - Bought 0.047 (QYLD) @17.2644","0.047","$17.2644","","-$0.82"
"05/02/2023","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (QYLD)","","","","$0.82"
"05/02/2023","Sell to Open","SJT 06/16/2023 7.50 C","TDA TRAN - Sold to Open 3 (SJT Jun 16 2023 7.5 Call) @0.2000","3","$0.20","$1.99","$58.01"
"05/01/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL","","","","-$2186.94"
"04/28/2023","Bond Interest","","TDA TRAN - FREE BALANCE INTEREST ADJUSTMENT","","","","$0.01"
"04/28/2023","Journaled Shares","MMDA1","TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA1)","0.15","","",""
"04/28/2023","Buy","HGTXU","TDA TRAN - Bought 400 (HGTXU) @1.4600","400","$1.46","$6.95","-$590.95"
"04/28/2023","Buy","SJT","TDA TRAN - Bought 200 (SJT) @7.9800","200","$7.98","","-$1596.00"
"04/25/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$1699.98"
"04/24/2023","Journaled Shares","AAPL 04/21/2023 100.00 P","TDA TRAN - REMOVAL OF OPTION DUE TO EXPIRATION (0AAPL.PL30100000)","-1","","",""
"04/24/2023","Journaled Shares","SJT 04/21/2023 12.50 C","TDA TRAN - REMOVAL OF OPTION DUE TO EXPIRATION (0SJT..DL30012500)","4","","",""
"04/24/2023 as of 04/21/2023","Sell","QYLD","TDA TRAN - Sold 100 (QYLD) @17.0000","100","$17.00","$0.02","$1699.98"
"04/24/2023","Journaled Shares","QYLD 04/21/2023 17.00 C","TDA TRAN - REMOVAL OF OPTION DUE TO ASSIGNMENT (0QYLD.DL30017000)","1","","",""
"04/21/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$590.36"
"04/20/2023","Journaled Shares","VIX 04/19/2023 70.00 C","TDA TRAN - REMOVAL OF OPTION DUE TO EXPIRATION (0VIX..DJ30070000)","-1","","",""
"04/20/2023","Bond Interest","","TDA TRAN - OFF-CYCLE INTEREST (MMDA1)","","","","$0.04"
"04/20/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL","","","","-$223.70"
"04/19/2023","Sell","SLG","TDA TRAN - Sold 0.143 (SLG) @25.1600","0.143","$25.16","","$3.60"
"04/19/2023","Buy","SJT","TDA TRAN - Bought 100 (SJT) @9.3750","100","$9.375","","-$937.50"
"04/19/2023","Buy","SJT","TDA TRAN - Bought 100 (SJT) @9.3797","100","$9.3797","","-$937.97"
"04/19/2023","Sell","SLG","TDA TRAN - Sold 101 (SLG) @25.1602","101","$25.1602","$0.03","$2541.15"
"04/19/2023","Buy to Close","SLG 04/21/2023 22.50 C","TDA TRAN - Bought to Close 1 (SLG Apr 21 2023 22.5 Call) @3.0200","1","$3.02","$0.66","-$302.66"
"04/17/2023","Reinvest Shares","SLG","TDA TRAN - Bought 1.143 (SLG) @23.6839","1.143","$23.6839","","-$27.08"
"04/17/2023","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (SLG)","","","","$27.08"
"04/17/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$36.02"
"04/14/2023","Reinvest Shares","SJT","TDA TRAN - Bought 17.797 (SJT) @10.7548","17.797","$10.7547","","-$191.40"
"04/14/2023","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (SJT)","","","","$191.40"
"04/14/2023","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (HGTXU)","","","","$36.02"
"04/11/2023","Reinvest Shares","AGNC","TDA TRAN - Bought 0.697 (AGNC) @10.0445","0.697","$10.0445","","-$7.00"
"04/11/2023","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (AGNC)","","","","$7.00"
"04/03/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$0.01"
"03/31/2023","Bond Interest","","TDA TRAN - FREE BALANCE INTEREST ADJUSTMENT","","","","$0.01"
"03/31/2023","Journaled Shares","MMDA1","TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA1)","0.05","","",""
"03/29/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$32.42"
"03/28/2023","Reinvest Shares","QYLD","TDA TRAN - Bought 1.037 (QYLD) @16.8990","1.037","$16.899","","-$17.52"
"03/28/2023","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (QYLD)","","","","$17.52"
"03/28/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$4.33"
"03/28/2023","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (ARR)","","","","$32.42"
"03/27/2023","Sell","ARR","TDA TRAN - Sold 0.193 (ARR) @5.1000","0.193","$5.10","","$0.98"
"03/27/2023","Buy","AGNC","TDA TRAN - Bought 32 (AGNC) @9.8999","32","$9.8999","","-$316.80"
"03/27/2023","Sell","AGNC","TDA TRAN - Sold 15 (AGNC) @9.8901","15","$9.8901","","$148.35"
"03/27/2023","Sell to Open","SLG 04/21/2023 22.50 C","TDA TRAN - Sold to Open 1 (SLG Apr 21 2023 22.5 Call) @1.5500","1","$1.55","$0.66","$154.34"
"03/27/2023","Buy","SLG","TDA TRAN - Bought 100 (SLG) @20.4800","100","$20.48","","-$2048.00"
"03/27/2023","Sell","ARR","TDA TRAN - Sold 405 (ARR) @5.1001","405","$5.1001","$0.08","$2065.46"
"03/21/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$9.34"
"03/20/2023","Sell to Open","QYLD 04/21/2023 17.00 C","TDA TRAN - Sold to Open 1 (QYLD Apr 21 2023 17.0 Call) @0.1000","1","$0.10","$0.66","$9.34"
"03/20/2023","Journaled Shares","QYLD 03/17/2023 17.00 C","TDA TRAN - REMOVAL OF OPTION DUE TO EXPIRATION (0QYLD.CH30017000)","1","","",""
"03/15/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$27.29"
"03/14/2023","Reinvest Shares","SJT","TDA TRAN - Bought 10.517 (SJT) @10.8477","10.517","$10.8477","","-$114.09"
"03/14/2023","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (SJT)","","","","$114.09"
"03/14/2023","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (HGTXU)","","","","$27.29"
"03/09/2023","Reinvest Shares","AGNC","TDA TRAN - Bought 0.457 (AGNC) @10.7309","0.457","$10.7309","","-$4.90"
"03/09/2023","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (AGNC)","","","","$4.90"
"03/09/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL","","","","-$1063.96"
"03/08/2023","Buy","ARR","TDA TRAN - Bought 200 (ARR) @5.3198","200","$5.3198","","-$1063.96"
"03/08/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$1000.00"
"03/07/2023","MoneyLink Transfer","","TDA TRAN - CLIENT REQUESTED ELECTRONIC FUNDING RECEIPT (FUNDS NOW)","","","","$1000.00"
"03/06/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL","","","","-$0.02"
"03/02/2023","Sell","367257201","TDA TRAN - Sold 1450 @0.0008","1,450","$0.0008","$0.21","$0.02"
"03/01/2023","Reinvest Shares","QYLD","TDA TRAN - Bought 1.05 (QYLD) @16.3462","1.05","$16.3462","","-$17.17"
"03/01/2023","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (QYLD)","","","","$17.17"
"03/01/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$61.36"
"02/28/2023","Bond Interest","","TDA TRAN - FREE BALANCE INTEREST ADJUSTMENT","","","","$0.01"
"02/28/2023","Journaled Shares","MMDA1","TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA1)","0.07","","",""
"02/28/2023","Sell to Open","SJT 04/21/2023 12.50 C","TDA TRAN - Sold to Open 4 (SJT Apr 21 2023 12.5 Call) @0.1600","4","$0.16","$2.65","$61.35"
"02/27/2023","Reinvest Shares","ARR","TDA TRAN - Bought 3.571 (ARR) @5.6451","3.571","$5.6451","","-$20.16"
"02/27/2023","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (ARR)","","","","$20.16"
"02/27/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL","","","","-$199.64"
"02/24/2023","Buy to Close","SJT 03/17/2023 10.00 C","TDA TRAN - Bought to Close 2 (SJT Mar 17 2023 10.0 Call) @0.4900","2","$0.49","$1.32","-$99.32"
"02/24/2023","Buy to Close","SJT 03/17/2023 10.00 C","TDA TRAN - Bought to Close 1 (SJT Mar 17 2023 10.0 Call) @0.4800","1","$0.48","$0.01","-$48.01"
"02/24/2023","Buy to Close","SJT 03/17/2023 10.00 C","TDA TRAN - Bought to Close 1 (SJT Mar 17 2023 10.0 Call) @0.5100","1","$0.51","$1.31","-$52.31"
"02/24/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$4.34"
"02/23/2023","Sell to Open","QYLD 03/17/2023 17.00 C","TDA TRAN - Sold to Open 1 (QYLD Mar 17 2023 17.0 Call) @0.0500","1","$0.05","$0.66","$4.34"
"02/21/2023","Journaled Shares","QYLD 02/17/2023 17.00 C","TDA TRAN - REMOVAL OF OPTION DUE TO EXPIRATION (0QYLD.BH30017000)","1","","",""
"02/15/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$13.01"
"02/14/2023","Reinvest Shares","SJT","TDA TRAN - Bought 3.982 (SJT) @9.9426","3.982","$9.9426","","-$39.59"
"02/14/2023","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (SJT)","","","","$39.59"
"02/14/2023","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (HGTXU)","","","","$13.01"
"02/09/2023","Reinvest Shares","AGNC","TDA TRAN - Bought 0.415 (AGNC) @11.6772","0.415","$11.6772","","-$4.85"
"02/09/2023","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (AGNC)","","","","$4.85"
"02/09/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$86.33"
"02/08/2023","Sell","NEWT","TDA TRAN - Sold 50 (NEWT) @19.7000","50","$19.70","$0.03","$984.97"
"02/08/2023","Sell to Open","SJT 03/17/2023 10.00 C","TDA TRAN - Sold to Open 1 (SJT Mar 17 2023 10.0 Call) @0.2700","1","$0.27","$0.66","$26.34"
"02/08/2023","Buy","SJT","TDA TRAN - Bought 100 (SJT) @9.3798","100","$9.3798","","-$937.98"
"02/08/2023","Buy","NEWT","TDA TRAN - Bought 50 (NEWT) @19.7400","50","$19.74","","-$987.00"
"02/08/2023","MoneyLink Transfer","","TDA TRAN - CLIENT REQUESTED ELECTRONIC FUNDING RECEIPT (FUNDS NOW)","","","","$1000.00"
"02/06/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$114.98"
"02/03/2023","Sell to Open","SJT 03/17/2023 10.00 C","TDA TRAN - Sold to Open 3 (SJT Mar 17 2023 10.0 Call) @0.4400","3","$0.44","$1.99","$130.01"
"02/03/2023","Buy to Close","SJT 02/17/2023 12.50 C","TDA TRAN - Bought to Close 3 (SJT Feb 17 2023 12.5 Call) @0.0500","3","$0.05","$0.03","-$15.03"
"02/01/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$0.01"
"01/31/2023","Bond Interest","","TDA TRAN - FREE BALANCE INTEREST ADJUSTMENT","","","","$0.01"
"01/31/2023","Journaled Shares","MMDA1","TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA1)","0.01","","",""
"01/31/2023","Reinvest Shares","QYLD","TDA TRAN - Bought 1.023 (QYLD) @16.8431","1.023","$16.8431","","-$17.23"
"01/31/2023","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (QYLD)","","","","$17.23"
"01/30/2023","Reinvest Shares","ARR","TDA TRAN - Bought 1.622 (ARR) @6.1663","1.622","$6.1663","","-$10.00"
"01/30/2023","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (ARR)","","","","$10.00"
"01/24/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$57.11"
"01/23/2023","Buy","HGTXU","TDA TRAN - Bought 100 (HGTXU) @1.6100","100","$1.61","$6.95","-$167.95"
"01/23/2023","Buy","ARR","TDA TRAN - Bought 100 (ARR) @6.0699","100","$6.0699","","-$606.99"
"01/23/2023","Buy","HGTXU","TDA TRAN - Bought 100 (HGTXU) @1.6100","100","$1.61","$6.95","-$167.95"
"01/23/2023","MoneyLink Transfer","","TDA TRAN - CLIENT REQUESTED ELECTRONIC FUNDING RECEIPT (FUNDS NOW)","","","","$1000.00"
"01/18/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$8.93"
"01/17/2023","Sell to Open","QYLD 02/17/2023 17.00 C","TDA TRAN - Sold to Open 1 (QYLD Feb 17 2023 17.0 Call) @0.0500","1","$0.05","$0.66","$4.34"
"01/17/2023","Reinvest Shares","SJT","TDA TRAN - Bought 3.152 (SJT) @10.6801","3.152","$10.6801","","-$33.66"
"01/17/2023","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (SJT)","","","","$33.66"
"01/17/2023","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (HGTXU)","","","","$4.59"
"01/11/2023","Reinvest Shares","AGNC","TDA TRAN - Bought 0.431 (AGNC) @11.1490","0.431","$11.149","","-$4.80"
"01/11/2023","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (AGNC)","","","","$4.80"
"01/09/2023","Reinvest Shares","QYLD","TDA TRAN - Bought 0.998 (QYLD) @16.2681","0.998","$16.2681","","-$16.24"
"01/09/2023","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (QYLD)","","","","$16.24"
"01/05/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$31.01"
"01/04/2023","Sell to Open","SJT 02/17/2023 12.50 C","TDA TRAN - Sold to Open 3 (SJT Feb 17 2023 12.5 Call) @0.1100","3","$0.11","$1.99","$31.01"
"01/04/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL","","","","-$13.03"
"01/03/2023","Buy to Close","SJT 01/20/2023 12.50 C","TDA TRAN - Bought to Close 2 (SJT Jan 20 2023 12.5 Call) @0.0400","2","$0.04","$0.02","-$8.02"
"01/03/2023","Buy to Close","SJT 01/20/2023 12.50 C","TDA TRAN - Bought to Close 1 (SJT Jan 20 2023 12.5 Call) @0.0500","1","$0.05","$0.01","-$5.01"
"01/03/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$0.01"
"12/30/2022","Bond Interest","","TDA TRAN - FREE BALANCE INTEREST ADJUSTMENT","","","","$0.01"
"12/30/2022","Journaled Shares","MMDA1","TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA1)","0.3","","",""
"12/29/2022","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$1.67"
"12/28/2022","Buy","SJT","TDA TRAN - Bought 5 (SJT) @11.4391","5","$11.4391","","-$57.20"
"12/28/2022","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$0.23"
"12/28/2022","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (SOXL)","","","","$0.23"
"12/27/2022","Sell","SOXL","TDA TRAN - Sold 0.197 (SOXL) @9.5000","0.197","$9.50","","$1.87"
"12/27/2022","Sell","SOXL","TDA TRAN - Sold 6 (SOXL) @9.5000","6","$9.50","","$57.00"
"12/27/2022","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL","","","","-$423.60"
"12/23/2022","Buy","AGNC","TDA TRAN - Bought 40 (AGNC) @10.5899","40","$10.5899","","-$423.60"
"12/21/2022","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$19.34"
"12/20/2022","Sell to Open","SJT 01/20/2023 12.50 C","TDA TRAN - Sold to Open 1 (SJT Jan 20 2023 12.5 Call) @0.2000","1","$0.20","$0.66","$19.34"
"12/20/2022","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL","","","","-$1371.12"
"12/19/2022","Buy","HGTXU","TDA TRAN - Bought 70 (HGTXU) @2.0200","70","$2.02","$6.95","-$148.35"
"12/19/2022","Buy","ARR","TDA TRAN - Bought 100 (ARR) @5.6800","100","$5.68","","-$568.00"
"12/19/2022","Buy","QYLD","TDA TRAN - Bought 40 (QYLD) @16.1399","40","$16.1399","","-$645.60"
"12/19/2022","Buy","HGTXU","TDA TRAN - Bought 30 (HGTXU) @2.0300","30","$2.03","$6.95","-$67.85"
"12/19/2022","Sell to Open","SJT 01/20/2023 12.50 C","TDA TRAN - Sold to Open 2 (SJT Jan 20 2023 12.5 Call) @0.3000","2","$0.30","$1.32","$58.68"
"12/19/2022","Journaled Shares","SJT 12/16/2022 12.50 C","TDA TRAN - REMOVAL OF OPTION DUE TO EXPIRATION (0SJT..LG20012500)","2","","",""
"12/14/2022","Reinvest Shares","SJT","TDA TRAN - Bought 4.968 (SJT) @11.7544","4.968","$11.7544","","-$58.40"
"12/14/2022","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (SJT)","","","","$58.40"
"11/30/2022","Journaled Shares","MMDA1","TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA1)","0.22","","",""
"11/30/2022","Reinvest Shares","QYLD","TDA TRAN - Bought 0.607 (QYLD) @16.2881","0.607","$16.2881","","-$9.89"
"11/30/2022","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (QYLD)","","","","$9.89"
"11/16/2022","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$1786.68"
"11/15/2022","Reinvest Shares","SJT","TDA TRAN - Bought 7.313 (SJT) @11.0885","7.313","$11.0885","","-$81.09"
"11/15/2022","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (SJT)","","","","$81.09"
"11/15/2022","Bond Interest","","TDA TRAN - OFF-CYCLE INTEREST (MMDA1)","","","","$0.02"
